season,month,min_temp,medium_temp,max_temp,precipitation,weekend,consumption
summer,01,23.9,27.3,32.5,0,0,25.461
summer,01,24.5,27.02,33.5,0,0,28.972
summer,01,22.4,24.82,29.9,0,1,30.814
summer,01,21.5,23.98,28.6,1.2,1,29.799
summer,01,21,23.82,28.3,0,0,28.9
summer,01,20.1,23.78,30.5,12.2,0,28.218
summer,01,19.5,24,33.7,0,0,29.732
summer,01,19.5,24.9,32.8,48.6,0,28.397
summer,01,21.9,28.2,34,4.4,0,24.886
summer,01,22.1,26.76,34.2,0,1,37.937
summer,01,22.2,27.62,34.8,3.4,1,36.254
summer,01,21.4,25.96,35.4,0,0,25.743
summer,01,21.2,25.52,34.8,0.8,0,26.99
summer,01,21.3,25.96,34,1.6,0,31.825
summer,01,21.5,25.86,32.8,3,0,25.724
summer,01,22.3,26.5,32.7,2,0,29.938
summer,01,22,28.86,35.8,0,1,37.69
summer,01,23.4,28.26,35.6,0,1,30.524
summer,01,22.7,28.22,36.5,3.7,0,29.265
summer,01,23.3,27.68,35.6,0.6,0,35.127
summer,01,22.7,25.32,30.9,0,0,29.13
summer,01,19.2,21.74,26.1,31,0,25.795
summer,01,18.5,21.04,26.1,3.6,0,21.784
summer,01,19,23.12,29.4,13,1,28.348
summer,01,18.1,24.4,30,0,1,31.088
summer,01,18.9,22.4,28.7,20.8,0,21.52
summer,01,20.5,23.6,28.7,1.2,0,29.972
summer,01,20.1,25.68,29.9,4.9,0,22.603
summer,01,21.5,25,29.2,0,0,22.696
summer,01,20.9,22.8,26.9,0,0,26.845
summer,01,18.5,21.64,24.3,0.2,1,27.03
summer,02,20.6,24.16,28,0,1,32.057
summer,02,20.7,22.48,26.5,4.5,0,24.097
summer,02,18,23.16,31.1,1.6,0,31.655
summer,02,19.9,22.12,23.7,3.2,0,24.738
summer,02,19.1,20.28,22.9,5.6,0,19.95
summer,02,17.9,21.06,25.4,18.4,0,22.821
summer,02,17.3,21.86,28.7,16.7,1,28.893
summer,02,17.1,22.76,29.5,10.4,1,29.926
summer,02,19.3,24,30.7,0,0,24.062
summer,02,20.1,23.92,29,32.2,0,21.137
summer,02,19.9,25.38,30.4,2.2,0,26.805
summer,02,23.1,27.66,32.7,0,0,26.389
summer,02,22.5,25.54,32.1,0,0,24.219
summer,02,21.1,24.32,31.6,0,1,30.231
summer,02,20,22.9,27.6,17.4,1,24.968
summer,02,18.8,21.6,27.3,22.7,0,25.343
summer,02,19.7,22.76,28,85.3,0,17.399
summer,02,19.9,22.22,26.4,13.4,0,21.392
summer,02,19.9,23.92,28.5,2.4,0,22.922
summer,02,21.7,24.72,28.2,0,0,24.567
summer,02,21.4,25.2,31.1,0,1,30.943
summer,02,20.4,24.44,30.8,0,1,30.825
summer,02,20.7,25.4,31.4,0,0,25.692
summer,02,20.5,24.3,31.9,0,0,26.959
summer,02,19.3,22.24,29.3,2,0,25.366
summer,02,19.2,24.1,30.3,34.4,0,22.784
summer,02,20.4,24.64,31.4,0.6,0,26.241
summer,02,19.7,22.4,27.7,0,1,26.467
autumn,03,18.2,21.26,26.3,3,1,27.475
autumn,03,17.2,22.16,29.2,0,0,28.749
autumn,03,19.5,23.16,29.5,0,0,24.146
autumn,03,18.9,23.68,30.5,0,0,22.988
autumn,03,19.7,24.42,31.6,0,0,30.3
autumn,03,19.4,22.6,28.5,0,0,22.654
autumn,03,19.4,21.92,26.6,38.2,1,29.09
autumn,03,19.7,22.2,24.4,69.2,1,24.619
autumn,03,19.7,21.36,23.3,77,0,20.016
autumn,03,21.2,23.12,26.9,9.7,0,23.042
autumn,03,20.1,22.88,28.1,9.5,0,22.933
autumn,03,19.2,22.26,26.9,1.2,0,22.409
autumn,03,20,22.34,26.6,0,0,21.281
autumn,03,19.9,22.88,27.9,12.2,1,28.844
autumn,03,19.1,22.08,26.8,0.3,1,32.872
autumn,03,18.6,21.92,29.4,22.4,0,20.903
autumn,03,18.6,21.92,25.6,24.2,0,26.275
autumn,03,19.7,21.24,24.1,0,0,20.167
autumn,03,19.2,21.78,27.1,3.2,0,23.628
autumn,03,18.9,21.64,28.2,7.4,0,24.213
autumn,03,18.5,20.88,25.3,14.7,1,28.631
autumn,03,18.1,19.7,22.8,1.7,1,25.855
autumn,03,17.1,19.88,23.3,19.2,0,21.406
autumn,03,17.4,20.98,26.3,0,0,21.617
autumn,03,17.1,21.56,27.9,0,0,22.401
autumn,03,18.3,22.98,29.8,0,0,27.989
autumn,03,18,23.32,30.8,0,0,24.974
autumn,03,19.1,23.28,29.5,0,1,29.76
autumn,03,20.5,22.14,26.6,0,1,26.116
autumn,03,19,22.5,25.9,18.6,0,25.85
autumn,03,20.1,23.14,29,1,0,24.925
autumn,04,19.2,22.52,27.5,0,0,21.979
autumn,04,18.2,20.92,26.2,0,0,22.116
autumn,04,16.3,21.02,27.2,0,0,24.867
autumn,04,17.9,22.36,29.4,0,1,33.45
autumn,04,20.1,22.82,26.4,0,1,32.713
autumn,04,18.5,21.36,27.7,0,0,22.356
autumn,04,16.1,17.38,20,7.1,0,21.004
autumn,04,14.7,18.68,24.3,0.4,0,23.362
autumn,04,15.9,19.4,25.6,0,0,20.298
autumn,04,17,20.46,25.5,0,0,24.862
autumn,04,17.2,21.74,28.4,0,1,30.505
autumn,04,16.8,19.92,25.7,0,1,25.07
autumn,04,18.1,20.88,25.7,0,0,22.62
autumn,04,18.4,21.7,28.8,0,0,22.001
autumn,04,18.5,21.94,27.4,0,0,23.469
autumn,04,18.6,21.26,26.7,25.4,0,21.735
autumn,04,18.4,21.42,27,37.2,0,21.593
autumn,04,18.2,23.36,29.3,0,1,33.822
autumn,04,20.3,22.5,27.2,0,1,28.028
autumn,04,19.3,24,29.2,20.2,0,24.304
autumn,04,19.3,22.52,29,0,0,31.108
autumn,04,18.9,20.06,21.6,2.4,0,19.113
autumn,04,18.6,21.2,24.9,14.6,0,23.198
autumn,04,19.3,22.52,28.1,0,0,24.388
autumn,04,17.4,19.18,23.3,0,1,27.42
autumn,04,16.1,19.04,23.7,0.8,1,30.479
autumn,04,17.5,19.82,24.9,0,0,21.838
autumn,04,17.2,20.26,26.9,0,0,20.812
autumn,04,16.8,18.66,22.7,0,0,19.761
autumn,04,14.7,16.22,18.7,0,0,20.452
autumn,05,13.4,17.34,22,0,0,17.939
autumn,05,14.7,19.26,26.4,0,1,25.272
autumn,05,15.8,21.04,26.3,0,1,28.049
autumn,05,17.9,19.96,22.3,1,0,25.317
autumn,05,16.6,18.14,20.8,9.9,0,21.826
autumn,05,15.9,17.76,20.4,0,0,20.68
autumn,05,15.8,17.8,21.7,0,0,19.143
autumn,05,13.9,16.14,19.2,0,0,18.146
autumn,05,13.7,18.04,26.1,0,1,25.489
autumn,05,13.7,16.94,21,0,1,23.537
autumn,05,15.7,17.86,20.6,22.2,0,16.956
autumn,05,14.2,17.12,21.7,0,0,19.052
autumn,05,14.7,16.34,18.9,2.8,0,17.287
autumn,05,14.2,16.72,21,0,0,20.3
autumn,05,13.6,16.84,21.5,0,0,20.538
autumn,05,13.2,17.18,22.3,0,1,23.702
autumn,05,15.4,18.26,22.4,0,1,28.411
autumn,05,16.6,18.6,21.3,0,0,21.073
autumn,05,17,18.64,22.9,0,0,24.215
autumn,05,15.9,18.74,23.3,0.2,0,19.525
autumn,05,16.3,19.46,25,0,0,20.786
autumn,05,16.3,20.26,25.4,0,0,20.429
autumn,05,15.9,19.94,24.4,0,1,27.25
autumn,05,17.9,21.8,26.3,0,1,31.387
autumn,05,17.5,22.06,27.4,0,0,26.075
autumn,05,19.7,21.28,24.8,0,0,22.162
autumn,05,19.7,22.94,27.1,0,0,24.258
autumn,05,16.8,18.56,23.2,1.8,0,24.683
autumn,05,15.3,17.68,21.9,7.2,0,21.245
autumn,05,13.1,17.52,22.9,0,1,25.937
autumn,05,13.6,16.28,18.4,5.6,1,26.081
winter,06,15.2,16.28,18,2.2,0,16.228
winter,06,15,16.04,17.5,0.5,0,20.106
winter,06,15,17.94,21.7,0,0,21.055
winter,06,14.6,18.36,24.1,0,0,22.772
winter,06,14.1,18.32,25.3,0,0,25.142
winter,06,13.8,19.66,26.1,0,1,31.129
winter,06,15.9,20.62,26.2,0,1,30.498
winter,06,15.2,20.86,26.4,0,0,26.15
winter,06,15.2,20.32,26,0,0,21.327
winter,06,15.5,20.54,26.2,0,0,22.008
winter,06,17.5,22.72,26.9,0,0,24.615
winter,06,16.9,18.8,23.5,0,0,22.375
winter,06,15.5,21.1,27.4,0,1,29.607
winter,06,18.1,22.76,27.3,0,1,32.983
winter,06,13.1,16.02,23.4,0,0,19.119
winter,06,12.1,14.82,18.1,9,0,21.029
winter,06,13.9,19.8,25.1,0,0,23.898
winter,06,15.8,19.88,26.2,0,0,24.534
winter,06,13.2,14.66,17.7,3.8,0,16.748
winter,06,12.5,15.82,20.4,0,1,23.055
winter,06,12.6,17.32,24.6,0,1,28.857
winter,06,13.1,18.54,24.6,0,0,23.022
winter,06,14.4,19.02,25.5,0,0,27.146
